ID,Epic,ViewFile,Title,Role,Goal,Benefit,Priority,Status,Dependencies,ReleaseTarget,AcceptanceCriteria,Notes
ORD-HIST-LIST,ORD,orders/history.blade.php,Order history list,Manager,review past orders,audit,P1,Todo,DATA,MVP,"Paginated; recent first",
ORD-HIST-FILTERDATE,ORD,orders/history.blade.php,Date filter,Manager,analyze periods,insight,P1,Todo,DATA,MVP,"From/to limits applied",
ORD-HIST-DETAIL,ORD,orders/history.blade.php,Order detail view,Manager,see line items,understand composition,P2,Todo,API,Next,"Expandable row/modal shows items",
ORD-HIST-EXPORT,ORD,orders/history.blade.php,Export orders,Manager,offline analysis,reporting,P3,Todo,JS,Later,"CSV matches filters",
ORD-HIST-SEARCH,ORD,orders/history.blade.php,Search order ref,Manager,locate order quickly,time saving,P2,Todo,API,Next,"Partial match returns list",
SALES-REPORT-DAY,SALES,sales/report.blade.php,Daily report,Manager,view daily performance,decision support,P1,Todo,DATA,MVP,"Totals for selected day correct",
SALES-REPORT-RANGE,SALES,sales/report.blade.php,Range aggregation,Manager,analyze trends,planning,P1,Todo,DATA,MVP,"Range totals & averages computed",
SALES-REPORT-TOP,SALES,sales/report.blade.php,Top products section,Manager,identify best sellers,marketing focus,P2,Todo,DATA,Next,"Limit adjustable",
SALES-REPORT-CAT,SALES,sales/report.blade.php,Category breakdown,Manager,see category impact,stock planning,P2,Todo,DATA,Next,"Chart + table align",
SALES-REPORT-EXPORT,SALES,sales/report.blade.php,Export report,Manager,share data,communication,P2,Todo,JS,Next,"CSV respects filters",
SALES-REPORT-PDF,SALES,sales/report.blade.php,Printable PDF,Manager,archive/share offline,record keeping,P3,Todo,API,Later,"Styled PDF generated",
LAYOUT-NAV,LAYOUT,layouts/sidebar.blade.php,Sidebar navigation,User,navigate app,efficiency,P1,Partial,ROUTES,MVP,"Active link highlighted",
LAYOUT-ROLE-VIS,LAYOUT,layouts/sidebar.blade.php,Role-based menu,User,see relevant items,reduce clutter,P1,Todo,ROLE,MVP,"Unauthorized menu hidden",
LAYOUT-FOOTER,LAYOUT,layouts/footer.blade.php,Footer version info,User,know build version,debugging,P3,Todo,CI,Later,"Version string present",
LAYOUT-CSRF-META,LAYOUT,layouts/app.blade.php,CSRF meta tag,System,expose token,secure ajax,P1,Todo,SEC,MVP,"<meta name=csrf-token> present",
LAYOUT-FLASH,LAYOUT,layouts/app.blade.php,Global toast system,User,see feedback,clarity,P2,Todo,JS,Next,"Standard component across pages",
LAYOUT-RESPONSIVE,LAYOUT,layouts/app.blade.php,Responsive shell,User,use on tablet,mobile friendly,P1,Todo,CSS,MVP,"Sidebar collapses < md width",
LAYOUT-BREADCRUMB,LAYOUT,layouts/header.blade.php,Breadcrumbs,User,understand context,orientation,P3,Todo,UX,Later,"Shows hierarchical path",
THEME-PALETTE,THEME,layouts/customizer.blade.php,Theme color picker,User,adjust look,personalization,P3,Todo,CSS,Later,"Selection persists",
THEME-FONT,THEME,layouts/customizer.blade.php,Adjust base font size,User,increase readability,accessibility,P3,Todo,CSS,Later,"Scaling 90%-120% options",
THEME-RESET,THEME,layouts/customizer.blade.php,Reset theme,User,revert changes,recover defaults,P3,Todo,JS,Later,"Clears stored prefs",
ACCESS-COLOR,ACCESS,ALL,Color contrast compliance,User,read text easily,accessibility,P2,Todo,DESIGN,Next,"All key elements pass AA",
ACCESS-FOCUS,ACCESS,ALL,Visible focus states,KeyboardUser,navigate without mouse,usability,P2,Todo,CSS,Next,"Outline visible on tab",
PERF-MINIFY,PERF,ALL,Use built assets,System,improve load speed,performance,P1,Partial,Build,MVP,"Production uses versioned /build assets",
PERF-LAZY,PERF,ALL,Lazy load heavy components,System,defer non-critical load,faster initial render,P2,Todo,JS,Next,"Charts load after viewport",
SEC-CLICKJACK,SEC-UX,ALL,Frameguard indicator,System,prevent UI framing,security,P2,Todo,SEC,Next,"Header/meta applied",
UX-GLOBAL-HELP,UX-ENH,layouts/header.blade.php,Global help modal,User,find shortcuts,learn faster,P3,Todo,JS,Later,"Modal accessible via icon",
INTL-READY,ACCESS,ALL,Localization readiness,System,prepare for i18n,scalability,P3,Todo,CONFIG,Later,"Strings moved to lang files",
PERF-DEBOUNCE,PERF,ALL,Debounce searches,System,reduce load,efficiency,P2,Todo,JS,Next,"≥300ms debounce applied",
PERF-DIFFRENDER,PERF,orders/takeOrder.blade.php,Diff cart rendering,System,avoid full rerenders,performance,P2,Todo,JS,Next,"Only changed rows updated",
PERF-CSS-CRIT,PERF,layouts/app.blade.php,Critical CSS inline,System,improve first paint,perceived speed,P3,Todo,Build,Later,"Above-the-fold styles in head",
PERF-ASSET-CACHE,PERF,layouts/app.blade.php,Asset cache busting,System,serve fresh builds,reliability,P1,Partial,Build,MVP,"Hashed filenames referenced"
